1,普惠民生（乌鲁木齐分行）,一对一,2015/9/21,2020/9/21,2459360000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息；第4年起提前还款（每次还款25%）
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2014/11/3,2016/11/3,176000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/2/15,2017/2/15,60000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/5/22,2016/5/20,200000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/3/9,2017/3/9,120000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/4/28,2016/4/27,200000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/5/28,2016/5/27,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/7/14,2016/7/13,2000000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/9/11,2016/9/9,200000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/10/9,2016/10/9,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2015/10/19,2016/10/19,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2016/1/20,2017/1/20,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2016/2/1,2017/2/1,100000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管总营理财1号专项资产管理计划,一对一,2016/3/1,2017/3/1,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆理财2号专项资产管理计划,一对一,2015/9/23,2017/9/22,230000000,0.001,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2014/6/26,2016/6/24,850000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2015/1/16,2016/12/12,550000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/9,2016/9/22,115100000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,到期一次性支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/9,2016/9/23,115100000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,到期一次性支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/9,2016/9/28,115100000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,到期一次性支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/9,2016/9/16,115100000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,到期一次性支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/9,2016/9/29,92480000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,到期一次性支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/12/21,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,到期一次性支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/10/31,200000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,到期一次性支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2018/11/24,120000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/12/23,450000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2018/12/10,200000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/12/15,1080000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/12/16,593000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/8/3,300000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/11/12,395725946,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/11/9,202936357,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/11/11,1000000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/11/6,190000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2017/4/1,300000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2017/4/1,300000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2017/4/1,300000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2017/8/12,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2017/8/24,440000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2017/11/19,350000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2018/9/16,100000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2018/9/28,200000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2016/10/8,1000000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2018/6/19,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管重庆分行理财1号专项资产管理计划,一对一,2016/3/10,2017/8/3,400000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财7号专项资产管理计划,一对一,2015/11/24,2016/11/18,45600000,0.0008,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财3号专项资产管理计划,一对一,2015/9/25,2016/9/22,100000000,0.0008,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/1/22,2017/1/20,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/1/30,2018/1/30,40000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/1/30,2017/1/20,300000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/1/30,2017/1/20,300000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/2/6,2017/2/6,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/2/9,2018/2/9,40000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/3/12,2017/3/10,2000000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/3/27,2017/3/27,400000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/4/2,2017/3/31,2000000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/4/29,2016/4/28,1000000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/8/21,2017/8/21,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/9/17,2017/9/15,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
